date, pm25, pm10, o3, no2, so2, co
2026/3/1, 48, 28, , 28, , 
2026/3/2, 55, 37, , 32, , 
2026/3/3, 66, 36, , 30, , 
2026/3/4, 65, 45, , 33, , 
2026/3/5, 69, 55, , 31, , 
2026/3/6, 86, 54, , 21, , 
2026/3/7, 107, 49, , 21, , 
2026/3/8, 120, 42, , 25, , 
2026/3/9, 73, 20, , 19, , 
2026/3/10, 44, 16, , 11, , 
2026/3/11, 37, 28, , 20, , 
2026/3/12, 41, 15, , 17, , 
2026/3/13, 30, 8, , 9, , 
2026/3/14, 22, 18, , 18, , 
2026/3/15, 40, 22, , 9, , 
2026/3/16, 41, 37, , 26, , 
2026/3/17, 55, 128, , 22, , 
2026/3/18, 93, , , , , 
2026/2/1, 54, 20, , 26, , 
2026/2/2, 45, 15, , 23, , 
2026/2/3, 42, 22, , 24, , 
2026/2/4, 41, 15, , 26, , 
2026/2/5, 40, 18, , 25, , 
2026/2/6, 43, 27, , 27, , 
2026/2/7, 52, 27, , 28, , 
2026/2/8, 52, 27, , 20, , 
2026/2/9, 51, 15, , 23, , 
2026/2/10, 34, 13, , 13, , 
2026/2/11, 32, 11, , 7, , 
2026/2/12, 24, 23, , 29, , 
2026/2/13, 50, 23, , 19, , 
2026/2/14, 65, 22, , 21, , 
2026/2/15, 61, 15, , 6, , 
2026/2/16, 35, 20, , 14, , 
2026/2/17, 38, 16, , 23, , 
2026/2/18, 40, 9, , 16, , 
2026/2/19, 24, 16, , 11, , 
2026/2/20, 37, 10, , 8, , 
2026/2/21, 21, 7, , 9, , 
2026/2/22, 16, 11, , 10, , 
2026/2/23, 19, 22, , 21, , 
2026/2/24, 34, 31, , 26, , 
2026/2/25, 51, 35, , 24, , 
2026/2/26, 65, 27, , 23, , 
2026/2/27, 52, 16, , 12, , 
2026/2/28, 36, 20, , 22, , 
2026/1/1, 96, 13, , 12, , 
2026/1/2, 33, 16, , 16, , 
2026/1/3, 42, 26, , 23, , 
2026/1/4, 58, 29, , 23, , 
2026/1/5, 76, 37, , 27, , 
2026/1/6, 96, 22, , 21, , 
2026/1/7, 51, 19, , 25, , 
2026/1/8, 45, 10, , 5, , 
2026/1/9, 18, 11, , 6, , 
2026/1/10, 24, 23, , 20, , 
2026/1/11, 47, 11, , 15, , 
2026/1/12, 26, 32, , 25, , 
2026/1/13, 43, 35, , 27, , 
2026/1/14, 55, 25, , 22, , 
2026/1/15, 27, 23, , 25, , 
2026/1/16, 39, 24, , 24, , 
2026/1/17, 60, 28, , 20, , 
2026/1/18, 66, 39, , 16, , 
2026/1/19, 76, 29, , 18, , 
2026/1/20, 62, 21, , 19, , 
2026/1/21, 39, 28, , 24, , 
2026/1/22, 43, 18, , 26, , 
2026/1/23, 35, 23, , 26, , 
2026/1/24, 44, 21, , 21, , 
2026/1/25, 50, 24, , 20, , 
2026/1/26, 47, 16, , 26, , 
2026/1/27, 44, 35, , 32, , 
2026/1/28, 64, 36, , 26, , 
2026/1/29, 67, 29, , 26, , 
2026/1/30, 56, 23, , 28, , 
2026/1/31, 57, 18, , 24, , 
2025/10/1, 55, 29, , 27, , 
2025/10/2, 57, 28, , 26, , 
2025/10/3, 57, 15, , 7, , 
2025/10/4, 23, 16, , 4, , 
2025/10/5, 29, 20, , 9, , 
2025/10/6, 30, 30, , 22, , 
2025/10/7, 57, 26, , 20, , 
2025/10/8, 58, 20, , 20, , 
2025/10/9, 38, 28, , 21, , 
2025/10/10, 51, 25, , 20, , 
2025/10/11, 59, 26, , 20, , 
2025/10/12, 61, 27, , 20, , 
2025/10/13, 57, 31, , 17, , 
2025/10/14, 70, 57, , 19, , 
2025/10/15, 58, 24, , 22, , 
2025/10/16, 44, 25, , 25, , 
2025/10/17, 46, 21, , 23, , 
2025/10/18, 42, 24, , 21, , 
2025/10/19, 56, 15, , 19, , 
2025/10/20, 32, 17, , 18, , 
2025/10/21, 30, 19, , 22, , 
2025/10/22, 32, 13, , 7, , 
2025/10/23, 19, 14, , 14, , 
2025/10/24, 26, 10, , 7, , 
2025/10/25, 19, 10, , 3, , 
2025/10/26, 13, 12, , 7, , 
2025/10/27, 28, 12, , 14, , 
2025/10/28, 28, 17, , 22, , 
2025/10/29, 37, 22, , 22, , 
2025/10/30, 41, 24, , 24, , 
